OrderID,Date,Product,Region,Salesperson,Quantity,UnitPrice,Revenue
1,2023-04-13,Phone,South,Diana,6,567,3402
2,2023-12-15,Tablet,North,Charlie,2,1855,3710
3,2023-09-28,Laptop,West,Alice,3,174,522
4,2023-04-17,Keyboard,North,Alice,5,103,515
5,2023-03-13,Laptop,North,Bob,9,1970,17730
6,2023-07-08,Laptop,East,Charlie,2,745,1490
7,2023-01-21,Tablet,South,Diana,8,217,1736
8,2023-04-13,Laptop,West,Ethan,2,980,1960
9,2023-05-02,Phone,East,Ethan,5,1729,8645
10,2023-08-03,Phone,North,Diana,7,603,4221
11,2023-11-27,Monitor,South,Bob,8,1046,8368
12,2023-03-29,Mouse,East,Ethan,1,673,673
13,2023-04-10,Headphones,South,Charlie,6,1564,9384
14,2023-12-26,Keyboard,East,Bob,1,293,293
15,2023-06-01,Laptop,South,Charlie,2,946,1892
16,2023-05-11,Laptop,North,Alice,1,814,814
17,2023-05-30,Tablet,West,Bob,5,1515,7575
18,2023-11-05,Mouse,North,Ethan,9,1149,10341
19,2023-09-15,Phone,West,Bob,6,1558,9348
20,2023-12-10,Keyboard,South,Bob,1,272,272
21,2023-10-21,Monitor,East,Bob,1,1423,1423
22,2023-07-11,Phone,North,Bob,2,1768,3536
23,2023-10-04,Mouse,West,Charlie,9,425,3825
24,2023-06-10,Headphones,North,Alice,3,1533,4599
25,2023-11-10,Monitor,West,Diana,1,1241,1241
26,2023-01-22,Headphones,North,Bob,5,935,4675
27,2023-09-10,Tablet,West,Ethan,7,1910,13370
28,2023-08-24,Tablet,West,Bob,6,823,4938
29,2023-12-11,Laptop,South,Ethan,1,324,324
30,2023-02-18,Headphones,West,Charlie,5,631,3155
31,2023-02-28,Mouse,South,Ethan,5,212,1060
32,2023-06-19,Keyboard,West,Diana,6,239,1434
33,2023-07-07,Monitor,East,Alice,3,658,1974
34,2023-09-28,Phone,East,Ethan,5,100,500
35,2023-07-09,Mouse,East,Ethan,7,189,1323
36,2023-06-24,Mouse,West,Alice,5,753,3765
37,2023-02-20,Tablet,South,Diana,5,419,2095
38,2023-12-30,Headphones,South,Bob,5,1673,8365
39,2023-02-24,Laptop,West,Ethan,3,1928,5784
40,2023-09-01,Laptop,East,Alice,1,238,238
41,2023-11-16,Monitor,East,Charlie,5,1634,8170
42,2023-05-11,Tablet,South,Alice,9,1991,17919
43,2023-11-03,Mouse,East,Charlie,1,944,944
44,2023-05-15,Keyboard,North,Diana,3,358,1074
45,2023-01-21,Tablet,South,Bob,4,1796,7184
46,2023-11-25,Monitor,East,Alice,1,1001,1001
47,2023-06-16,Monitor,South,Ethan,1,789,789
48,2023-10-01,Tablet,North,Diana,8,109,872
49,2023-03-30,Monitor,South,Alice,2,360,720
50,2023-11-12,Tablet,South,Ethan,8,1773,14184
51,2023-01-14,Phone,South,Alice,7,271,1897
52,2023-08-30,Tablet,South,Charlie,2,997,1994
53,2023-09-22,Headphones,North,Alice,6,112,672
54,2023-12-12,Tablet,West,Alice,6,1291,7746
55,2023-02-22,Monitor,South,Alice,3,1765,5295
56,2023-12-06,Headphones,South,Diana,2,1719,3438
57,2023-04-02,Monitor,East,Alice,1,420,420
58,2023-09-21,Laptop,South,Ethan,6,1442,8652
59,2023-02-04,Laptop,East,Charlie,5,1736,8680
60,2023-07-25,Headphones,West,Charlie,9,428,3852
61,2023-03-22,Phone,North,Alice,1,884,884
62,2023-02-19,Laptop,North,Diana,7,876,6132
63,2023-12-26,Tablet,West,Diana,5,1010,5050
64,2023-01-02,Monitor,North,Ethan,5,1673,8365
65,2023-02-23,Laptop,West,Alice,2,1542,3084
66,2023-04-16,Laptop,West,Charlie,3,1729,5187
67,2023-09-17,Phone,West,Diana,7,1218,8526
68,2023-11-06,Headphones,North,Alice,6,1940,11640
69,2023-07-10,Headphones,East,Diana,2,1704,3408
70,2023-08-06,Mouse,West,Diana,6,417,2502
71,2023-02-13,Phone,South,Charlie,2,335,670
72,2023-06-11,Tablet,North,Bob,2,433,866
73,2023-07-21,Headphones,West,Ethan,2,475,950
74,2023-09-27,Monitor,West,Ethan,3,1582,4746
75,2023-12-17,Phone,South,Charlie,2,1260,2520
76,2023-10-31,Laptop,East,Diana,4,687,2748
77,2023-09-28,Monitor,East,Alice,9,1670,15030
78,2023-08-03,Monitor,East,Diana,6,612,3672
79,2023-09-09,Laptop,West,Charlie,1,1419,1419
80,2023-07-09,Phone,West,Ethan,8,1443,11544
81,2023-10-23,Laptop,West,Diana,7,1017,7119
82,2023-08-01,Mouse,North,Ethan,3,1695,5085
83,2023-07-27,Monitor,South,Alice,1,1955,1955
84,2023-08-25,Keyboard,West,Ethan,5,1472,7360
85,2023-12-04,Keyboard,South,Ethan,4,1963,7852
86,2023-02-22,Tablet,South,Bob,8,1902,15216
87,2023-10-07,Headphones,East,Bob,1,972,972
88,2023-08-05,Laptop,North,Bob,1,1352,1352
89,2023-09-09,Laptop,West,Ethan,4,369,1476
90,2023-07-07,Tablet,East,Charlie,8,1951,15608
91,2023-02-10,Tablet,East,Ethan,5,897,4485
92,2023-06-06,Tablet,West,Charlie,2,1414,2828
93,2023-01-15,Monitor,South,Charlie,6,824,4944
94,2023-10-28,Mouse,East,Bob,5,1288,6440
95,2023-03-06,Laptop,South,Diana,2,104,208
96,2023-12-11,Monitor,North,Alice,3,950,2850
97,2023-11-23,Tablet,South,Bob,9,1502,13518
98,2023-01-09,Laptop,North,Bob,7,177,1239
99,2023-12-10,Monitor,South,Diana,7,1533,10731
100,2023-05-09,Mouse,East,Alice,6,673,4038
101,2023-05-16,Monitor,East,Ethan,8,231,1848
102,2023-03-04,Mouse,North,Ethan,4,700,2800
103,2023-05-19,Tablet,West,Bob,8,1872,14976
104,2023-03-22,Mouse,North,Alice,4,1165,4660
105,2023-06-12,Laptop,North,Bob,8,188,1504
106,2023-10-16,Tablet,South,Charlie,9,501,4509
107,2023-09-18,Laptop,South,Bob,3,395,1185
108,2023-08-19,Keyboard,North,Bob,3,1963,5889
109,2023-02-10,Phone,East,Ethan,2,1418,2836
110,2023-01-28,Mouse,South,Ethan,3,715,2145
111,2023-05-15,Phone,West,Ethan,3,1649,4947
112,2023-07-20,Phone,South,Charlie,5,899,4495
113,2023-11-24,Mouse,South,Ethan,5,1814,9070
114,2023-09-25,Tablet,West,Alice,2,1760,3520
115,2023-02-02,Keyboard,North,Diana,6,521,3126
116,2023-02-17,Laptop,West,Alice,5,1988,9940
117,2023-03-03,Monitor,North,Alice,6,1146,6876
118,2023-08-04,Laptop,North,Ethan,1,674,674
119,2023-10-20,Monitor,North,Diana,5,242,1210
120,2023-04-09,Laptop,West,Diana,9,1092,9828
121,2023-06-21,Mouse,North,Diana,2,764,1528
122,2023-12-26,Keyboard,East,Charlie,1,244,244
123,2023-08-02,Monitor,West,Ethan,9,1348,12132
124,2023-02-04,Headphones,East,Diana,9,1106,9954
125,2023-08-15,Tablet,North,Charlie,9,602,5418
126,2023-04-11,Laptop,South,Bob,6,920,5520
127,2023-05-11,Laptop,North,Bob,8,1739,13912
128,2023-09-14,Monitor,East,Charlie,1,203,203
129,2023-01-05,Tablet,East,Charlie,4,1162,4648
130,2023-08-06,Tablet,West,Ethan,1,297,297
131,2023-09-12,Mouse,South,Ethan,8,1769,14152
132,2023-12-25,Headphones,West,Bob,1,678,678
133,2023-10-10,Mouse,East,Diana,3,490,1470
134,2023-07-26,Mouse,North,Bob,4,1302,5208
135,2023-01-15,Mouse,South,Diana,8,653,5224
136,2023-12-12,Mouse,North,Diana,6,1571,9426
137,2023-02-11,Mouse,North,Ethan,7,1623,11361
138,2023-06-28,Keyboard,South,Alice,8,1138,9104
139,2023-03-04,Tablet,West,Alice,2,1746,3492
140,2023-12-18,Mouse,North,Charlie,8,1792,14336
141,2023-08-19,Tablet,East,Ethan,3,1412,4236
142,2023-08-29,Tablet,North,Diana,7,577,4039
143,2023-02-21,Phone,South,Alice,3,1354,4062
144,2023-04-06,Keyboard,South,Diana,7,1022,7154
145,2023-08-10,Mouse,South,Alice,2,519,1038
146,2023-08-19,Laptop,West,Alice,6,256,1536
147,2023-08-25,Monitor,North,Alice,3,649,1947
148,2023-05-23,Headphones,West,Ethan,3,1564,4692
149,2023-06-20,Laptop,West,Bob,9,1220,10980
150,2023-01-29,Keyboard,South,Diana,7,1120,7840
151,2023-02-05,Monitor,South,Ethan,5,1096,5480
152,2023-01-13,Keyboard,West,Ethan,7,1534,10738
153,2023-06-09,Tablet,North,Ethan,9,1050,9450
154,2023-11-23,Monitor,East,Ethan,1,388,388
155,2023-07-06,Tablet,West,Ethan,7,1377,9639
156,2023-08-31,Laptop,North,Charlie,6,295,1770
157,2023-03-27,Laptop,South,Diana,9,697,6273
158,2023-10-11,Monitor,South,Ethan,1,1957,1957
159,2023-03-07,Monitor,North,Diana,4,1645,6580
160,2023-06-19,Mouse,East,Charlie,9,616,5544
161,2023-02-14,Keyboard,South,Charlie,4,1758,7032
162,2023-03-03,Mouse,South,Diana,3,1965,5895
163,2023-05-14,Keyboard,South,Alice,9,964,8676
164,2023-10-11,Mouse,North,Bob,2,1241,2482
165,2023-01-28,Tablet,West,Alice,4,905,3620
166,2023-04-18,Monitor,South,Alice,6,1282,7692
167,2023-02-13,Laptop,West,Alice,2,914,1828
168,2023-12-06,Keyboard,East,Ethan,8,327,2616
169,2023-10-13,Keyboard,South,Charlie,8,315,2520
170,2023-11-27,Laptop,South,Alice,1,1047,1047
171,2023-05-08,Mouse,East,Charlie,3,1819,5457
172,2023-12-14,Keyboard,South,Diana,9,114,1026
173,2023-08-19,Headphones,West,Bob,5,1280,6400
174,2023-07-09,Tablet,North,Diana,6,1771,10626
175,2023-08-13,Monitor,West,Diana,4,1384,5536
176,2023-10-10,Laptop,North,Ethan,2,1280,2560
177,2023-05-01,Monitor,North,Bob,8,146,1168
178,2023-04-26,Headphones,West,Diana,6,423,2538
179,2023-08-21,Keyboard,West,Diana,5,943,4715
180,2023-09-16,Keyboard,West,Bob,9,1808,16272
181,2023-12-25,Headphones,West,Bob,1,229,229
182,2023-07-17,Laptop,East,Diana,5,1534,7670
183,2023-05-17,Tablet,South,Bob,6,194,1164
184,2023-11-14,Phone,North,Diana,5,726,3630
185,2023-06-14,Laptop,West,Diana,6,854,5124
186,2023-08-13,Phone,West,Ethan,6,1415,8490
187,2023-11-03,Headphones,West,Alice,7,893,6251
188,2023-08-22,Mouse,East,Diana,4,1934,7736
189,2023-06-21,Phone,West,Charlie,8,1406,11248
190,2023-06-01,Tablet,West,Alice,7,168,1176
191,2023-11-11,Mouse,West,Alice,9,1783,16047
192,2023-06-09,Phone,South,Alice,7,110,770
193,2023-04-06,Headphones,East,Ethan,3,1377,4131
194,2023-08-21,Mouse,West,Diana,3,1965,5895
195,2023-06-29,Headphones,North,Ethan,8,971,7768
196,2023-04-23,Phone,North,Diana,5,649,3245
197,2023-11-14,Headphones,North,Ethan,4,1257,5028
198,2023-02-21,Tablet,East,Ethan,8,811,6488
199,2023-09-25,Phone,East,Charlie,6,122,732
200,2023-10-22,Phone,North,Ethan,2,914,1828
